+-------------------+-------------+-----------------------------------+----------------------------------+--------------------------------------------+
| source_table      | column_1    | column_2                          | column_3                         | column_4                                   |
+-------------------+-------------+-----------------------------------+----------------------------------+--------------------------------------------+
| Table: t_act_log  | log_id: 1   | usr_ref: 1                        | ts_val: 2023-06-15 08:30:45      | bw_id: fp:4a5b6c7d8e9f0g1h2i3j4k5l6m7n8o9p |
| Table: t_act_log  | log_id: 2   | usr_ref: 2                        | ts_val: 2023-06-15 10:15:22      | bw_id: fp:0p9o8n7m6l5k4j3i2h1g0f9e8d7c6b5a |
| Table: t_act_log  | log_id: 3   | usr_ref: 3                        | ts_val: 2023-06-15 14:20:37      | bw_id: fp:5a4b3c2d1e0f9g8h7i6j5k4l3m2n1o0p |
| Table: t_act_log  | log_id: 4   | usr_ref: 4                        | ts_val: 2023-06-15 09:45:18      | bw_id: fp:9i8u7y6t5r4e3w2q1p0o9i8u7y6t5r4e |
| Table: t_act_log  | log_id: 5   | usr_ref: 5                        | ts_val: 2023-06-15 16:50:09      | bw_id: fp:1q2w3e4r5t6y7u8i9o0p1a2s3d4f5g6h |
| Table: t_act_log  | log_id: 6   | usr_ref: 6                        | ts_val: 2023-06-16 08:45:53      | bw_id: fp:7j8k9l0m1n2o3p4q5r6s7t8u9v0w1x2y |
| Table: t_act_log  | log_id: 7   | usr_ref: 7                        | ts_val: 2023-06-17 18:20:10      | bw_id: fp:3z2y1x0w9v8u7t6s5r4q3p2o1n0m9l8  |
| Table: t_act_log  | log_id: 8   | usr_ref: 8                        | ts_val: 2023-06-18 11:05:34      | bw_id: fp:6d5c4b3a2z1y0x9w8v7u6t5s4r3q2p1  |
| Table: t_act_log  | log_id: 9   | usr_ref: 9                        | ts_val: 2023-06-19 14:40:15      | bw_id: fp:8g7f6e5d4c3b2a1z0y9x8w7v6u5t4s3  |
| Table: t_act_log  | log_id: 10  | usr_ref: 10                       | ts_val: 2023-06-20 09:15:42      | bw_id: fp:2n3o4p5q6r7s8t9u0v1w2x3y4z5a6b7  |
| Table: t_act_log  | log_id: 11  | usr_ref: 11                       | ts_val: 2023-06-21 17:30:08      | bw_id: fp:9c8b7a6z5y4x3w2v1u0t9s8r7q6p5o4  |
| Table: t_act_log  | log_id: 12  | usr_ref: 12                       | ts_val: 2023-06-22 13:25:59      | bw_id: fp:1e2f3g4h5i6j7k8l9m0n1o2p3q4r5s6  |
| Table: t_act_log  | log_id: 13  | usr_ref: 13                       | ts_val: 2023-06-23 10:50:27      | bw_id: fp:7u8v9w0x1y2z3a4b5c6d7e8f9g0h1i2  |
| Table: t_act_log  | log_id: 14  | usr_ref: 14                       | ts_val: 2023-06-24 15:10:33      | bw_id: fp:4r5s6t7u8v9w0x1y2z3a4b5c6d7e8f9  |
| Table: t_act_log  | log_id: 15  | usr_ref: 15                       | ts_val: 2023-06-25 08:35:12      | bw_id: fp:5t6u7v8w9x0y1z2a3b4c5d6e7f8g9h0  |
| Table: t_act_log  | log_id: 16  | usr_ref: 16                       | ts_val: 2023-06-26 19:45:51      | bw_id: fp:8a9b0c1d2e3f4g5h6i7j8k9l0m1n2o3  |
| Table: t_act_log  | log_id: 17  | usr_ref: 17                       | ts_val: 2023-06-27 12:20:03      | bw_id: fp:2h3i4j5k6l7m8n9o0p1q2r3s4t5u6v7  |
| Table: t_act_log  | log_id: 18  | usr_ref: 18                       | ts_val: 2023-06-28 16:55:37      | bw_id: fp:9d0e1f2g3h4i5j6k7l8m9n0o1p2q3r4  |
| Table: t_act_log  | log_id: 19  | usr_ref: 19                       | ts_val: 2023-06-29 09:30:22      | bw_id: fp:1k2l3m4n5o6p7q8r9s0t1u2v3w4x5y6  |
| Table: t_act_log  | log_id: 20  | usr_ref: 20                       | ts_val: 2023-06-30 14:15:48      | bw_id: fp:6y7z8a9b0c1d2e3f4g5h6i7j8k9l0m1  |
| Table: t_act_log  | log_id: 21  | usr_ref: 21                       | ts_val: 2023-07-01 11:40:29      | bw_id: fp:3n4o5p6q7r8s9t0u1v2w3x4y5z6a7b8  |
| Table: t_act_log  | log_id: 22  | usr_ref: 22                       | ts_val: 2023-07-02 18:05:13      | bw_id: fp:0w9v8u7t6s5r4q3p2o1n0m9l8k7j6i5  |
| Table: t_act_log  | log_id: 23  | usr_ref: 23                       | ts_val: 2023-07-03 10:25:57      | bw_id: fp:7b8c9d0e1f2g3h4i5j6k7l8m9n0o1p2  |
| Table: t_act_log  | log_id: 24  | usr_ref: 24                       | ts_val: 2023-07-04 15:50:32      | bw_id: fp:4i5j6k7l8m9n0o1p2q3r4s5t6u7v8w9  |
| Table: t_act_log  | log_id: 25  | usr_ref: 25                       | ts_val: 2023-07-05 09:10:47      | bw_id: fp:2d3e4f5g6h7i8j9k0l1m2n3o4p5q6r7  |
| Table: t_act_log  | log_id: 26  | usr_ref: 26                       | ts_val: 2023-07-06 13:35:21      | bw_id: fp:9f0g1h2i3j4k5l6m7n8o9p0q1r2s3t4  |
| Table: t_act_log  | log_id: 27  | usr_ref: 27                       | ts_val: 2023-07-07 17:20:08      | bw_id: fp:5z6a7b8c9d0e1f2g3h4i5j6k7l8m9n0  |
| Table: t_act_log  | log_id: 28  | usr_ref: 28                       | ts_val: 2023-07-08 11:45:39      | bw_id: fp:8m9n0o1p2q3r4s5t6u7v8w9x0y1z2a3  |
| Table: t_act_log  | log_id: 29  | usr_ref: 29                       | ts_val: 2023-07-09 16:30:15      | bw_id: fp:1x2y3z4a5b6c7d8e9f0g1h2i3j4k5l6  |
| Table: t_act_log  | log_id: 30  | usr_ref: 30                       | ts_val: 2023-07-10 08:55:52      | bw_id: fp:7p8q9r0s1t2u3v4w5x6y7z8a9b0c1d2  |
| Table: t_act_log  | log_id: 31  | usr_ref: 31                       | ts_val: 2023-07-11 14:40:27      | bw_id: fp:3g4h5i6j7k8l9m0n1o2p3q4r5s6t7u8  |
| Table: t_act_log  | log_id: 32  | usr_ref: 32                       | ts_val: 2023-07-12 10:15:43      | bw_id: fp:0c1d2e3f4g5h6i7j8k9l0m1n2o3p4q5  |
| Table: t_act_log  | log_id: 33  | usr_ref: 33                       | ts_val: 2023-07-13 17:50:19      | bw_id: fp:6j7k8l9m0n1o2p3q4r5s6t7u8v9w0x1  |
| Table: t_act_log  | log_id: 34  | usr_ref: 34                       | ts_val: 2023-07-14 12:25:36      | bw_id: fp:2v3w4x5y6z7a8b9c0d1e2f3g4h5i6j7  |
| Table: t_act_log  | log_id: 35  | usr_ref: 35                       | ts_val: 2023-07-15 09:55:08      | bw_id: fp:9o0p1q2r3s4t5u6v7w8x9y0z1a2b3c4  |
| Table: t_act_log  | log_id: 36  | usr_ref: 36                       | ts_val: 2023-07-16 15:30:51      | bw_id: fp:5s6t7u8v9w0x1y2z3a4b5c6d7e8f9g0  |
| Table: t_act_log  | log_id: 37  | usr_ref: 37                       | ts_val: 2023-07-17 08:05:17      | bw_id: fp:1a2b3c4d5e6f7g8h9i0j1k2l3m4n5o6  |
| Table: t_act_log  | log_id: 38  | usr_ref: 38                       | ts_val: 2023-07-18 13:40:34      | bw_id: fp:7d8e9f0g1h2i3j4k5l6m7n8o9p0q1r2  |
| Table: t_act_log  | log_id: 39  | usr_ref: 39                       | ts_val: 2023-07-19 17:15:09      | bw_id: fp:4g5h6i7j8k9l0m1n2o3p4q5r6s7t8u9  |
| Table: t_act_log  | log_id: 40  | usr_ref: 40                       | ts_val: 2023-07-20 11:50:27      | bw_id: fp:8j9k0l1m2n3o4p5q6r7s8t9u0v1w2x3  |
